id,date,work_performed,primary_source
340,1820-06-17,251,Th OC-91
341,1820-06-18,290,Th OC-91
342,1820-06-18,380,Th OC-91
343,1820-06-19,72,Th OC-91
344,1820-06-19,73,Th OC-91
345,1820-06-19,378,Th OC-91
346,1820-06-20,104,Th OC-91
347,1820-06-20,289,Th OC-91
348,1820-06-20,160,Th OC-91
349,1820-06-21,290,Th OC-91
350,1820-06-21,226,Th OC-91
351,1820-06-22,53,Th OC-91
352,1820-06-22,120,Th OC-91
353,1820-06-22,12,Th OC-91
354,1820-06-23,26,Th OC-91
355,1820-06-23,140,Th OC-91
356,1820-06-23,239,Th OC-91
357,1820-06-24,72,Th OC-91
358,1820-06-24,212,Th OC-91
359,1820-06-25,139,Th OC-91
360,1820-06-25,226,Th OC-91
361,1820-06-26,219,Th OC-91
362,1820-06-26,53,Th OC-91
363,1820-06-27,140,Th OC-91
364,1820-06-27,241,Th OC-91
365,1820-06-28,12,Th OC-91
366,1820-06-28,334,Th OC-91
367,1820-06-29,226,Th OC-91
368,1820-06-29,254,Th OC-91
369,1820-06-29,315,Th OC-91
370,1820-07-01,335,Th OC-91
371,1820-07-01,36,Th OC-91
372,1820-07-01,306,Th OC-91
373,1820-07-02,54,Th OC-91
374,1820-07-02,388,Th OC-91
375,1820-07-03,200,Th OC-91
376,1820-07-03,182,Th OC-91
377,1820-07-03,151,Th OC-91
378,1820-07-04,289,Th OC-91
379,1820-07-04,177,Th OC-91
380,1820-07-04,254,Th OC-91
381,1820-07-05,349,Th OC-91
382,1820-07-05,239,Th OC-91
383,1820-07-05,251,Th OC-91
384,1820-07-06,163,Th OC-91
385,1820-07-06,73,Th OC-91
386,1820-07-06,254,Th OC-91
387,1820-07-07,290,Th OC-91
388,1820-07-07,120,Th OC-91
389,1820-07-08,200,Th OC-91
390,1820-07-08,375,Th OC-91
391,1820-07-08,254,Th OC-91
392,1820-07-09,150,Th OC-91
393,1820-07-09,224,Th OC-91
394,1820-07-10,140,Th OC-91
395,1820-07-10,36,Th OC-91
396,1820-07-10,151,Th OC-91
397,1820-07-11,20,Th OC-91
398,1820-07-11,280,Th OC-91
399,1820-07-12,139,Th OC-91
400,1820-07-12,334,Th OC-91
401,1820-07-13,72,Th OC-91
402,1820-07-13,254,Th OC-91
403,1820-07-13,315,Th OC-91
404,1820-07-14,26,Th OC-91
405,1820-07-14,224,Th OC-91
406,1820-07-15,254,Th OC-91
407,1820-07-15,378,Th OC-91
408,1820-07-15,136,Th OC-91
409,1820-07-16,200,Th OC-91
410,1820-07-16,182,Th OC-91
411,1820-07-16,227,Th OC-91
412,1820-07-17,53,Th OC-91
413,1820-07-17,120,Th OC-91
414,1820-07-18,177,TH OC-114
415,1820-07-18,79,TH OC-114
416,1820-07-18,254,TH OC-114
417,1820-07-20,73,Th OC-91
418,1820-07-20,251,Th OC-91
419,1820-07-20,254,Th OC-91
420,1820-07-21,289,Th OC-91
421,1820-07-21,224,Th OC-91
422,1820-07-22,349,Th OC-91
423,1820-07-22,254,Th OC-91
424,1820-07-22,315,Th OC-91
425,1820-07-24,198,Th OC-91
426,1820-07-24,12,Th OC-91
427,1820-07-24,254,Th OC-91
428,1820-07-25,53,Th OC-91
429,1820-07-25,377,Th OC-91
430,1820-07-26,251,Th OC-91
431,1820-07-26,79,Th OC-91
432,1820-07-26,315,Th OC-91
433,1820-07-27,36,Th OC-91
434,1820-07-27,349,Th OC-91
435,1820-07-27,254,Th OC-91
436,1820-07-29,120,Th OC-91
437,1820-07-29,271,Th OC-91
438,1820-07-30,73,Th OC-91
439,1820-07-30,251,Th OC-91
440,1820-07-30,254,Th OC-91
441,1820-07-31,226,Th OC-91
442,1820-07-31,271,Th OC-91
443,1820-08-01,290,Th OC-91
444,1820-08-01,254,Th OC-91
445,1820-08-02,271,Th OC-91
446,1820-08-03,72,Th OC-91
447,1820-08-03,26,Th OC-91
448,1820-08-03,157,Th OC-91
449,1820-08-04,271,Th OC-91
450,1820-08-05,251,Th OC-91
451,1820-08-05,334,Th OC-91
452,1820-08-06,20,Th OC-91
453,1820-08-06,290,Th OC-91
454,1820-08-07,157,Th OC-91
455,1820-08-07,254,Th OC-91
456,1820-08-07,315,Th OC-91
457,1820-08-08,251,Th OC-91
458,1820-08-08,271,Th OC-91
459,1820-08-09,135,Th OC-91
460,1820-08-09,336,Th OC-91
461,1820-08-10,157,Th OC-91
462,1820-08-10,271,Th OC-91
463,1820-08-11,26,Th OC-91
464,1820-08-11,53,Th OC-91
465,1820-08-11,289,Th OC-91
466,1820-08-12,224,Th OC-91
467,1820-08-12,378,Th OC-91
468,1820-08-13,219,Th OC-91
469,1820-08-13,36,Th OC-91
470,1820-08-14,139,Th OC-91
471,1820-08-14,336,Th OC-91
472,1820-08-15,200,Th OC-91
473,1820-08-15,135,Th OC-91
474,1820-08-15,239,Th OC-91
475,1820-08-16,150,Th OC-91
476,1820-08-16,1,Th OC-91
477,1820-08-17,254,Th OC-91
478,1820-08-17,377,Th OC-91
479,1820-08-19,200,Th OC-91
480,1820-08-19,239,Th OC-91
481,1820-08-19,254,Th OC-91
482,1820-08-20,20,Th OC-91
483,1820-08-20,241,Th OC-91
484,1820-08-21,280,Th OC-91
485,1820-08-21,254,Th OC-91
486,1820-08-22,224,Th OC-91
487,1820-08-22,315,Th OC-91
488,1820-08-23,388,Th OC-91
489,1820-08-23,151,Th OC-91
490,1820-08-24,139,Th OC-91
491,1820-08-24,26,Th OC-91
492,1820-08-26,336,Th OC-91
493,1820-08-26,251,Th OC-91
494,1820-08-27,290,Th OC-91
495,1820-08-27,375,Th OC-91
496,1820-08-28,26,Th OC-91
497,1820-08-28,157,Th OC-91
498,1820-08-28,239,Th OC-91
499,1820-08-29,20,Th OC-91
500,1820-08-29,327,Th OC-91
501,1820-08-30,290,Th OC-91
502,1820-08-30,254,Th OC-91
503,1820-08-31,327,Th OC-91
504,1820-08-31,36,Th OC-91
505,1820-08-31,251,Th OC-91
506,1820-09-01,254,Th OC-91
507,1820-09-01,334,Th OC-91
508,1820-09-02,139,Th OC-91
509,1820-09-02,53,Th OC-91
510,1820-09-03,262,Th OC-91
511,1820-09-03,254,Th OC-91
512,1820-09-04,219,Th OC-91
513,1820-09-04,200,Th OC-91
514,1820-09-05,157,Th OC-91
515,1820-09-05,73,Th OC-91
