id,surname,given_names,wikidata_id
307,Halévy,Jacques Fromental Elie,
308,Halévy,Léon,
309,Harny de Guerville,,
310,Herbain,Chevalier d',
311,Herold,Louis Joseph Ferdinand,
312,Hinner,Philipp Joseph,
313,Hoffman,François Benoît Henri,
314,Houbron,,
315,Humbert,Auguste,
316,Hurtado,Antonio,
317,Hus,"P.E. Staupleton, dit Eugène",
318,Hèle,Thomas d',
319,Hélitas de Meun,Joseph,
320,Héquet,Charles Joseph Gustave,
321,Imbert,Barthélémy,
322,Isouard,"Nicolas, dit Nicolò",
323,Jadin,Adolphe,
324,Jadin,Louis Emmanuel,
325,Jalabert,C.,
326,Jars,Antoine Gabriel,
327,Joigny,,
328,Josse,Giovanni,
329,Jouy,"Victor Joseph Étienne, dit Étienne de",
330,Junquières,Jean-Baptiste René de,
331,Kastner,Jean Georges,
332,Kind,Johann Friedrich,
333,Kock,Charles Paul de,
334,Kohaut,Josef Wenzel Thomas,
335,Kreubé,Charles Frédéric,
336,Kreutzer,Rodolphe,
337,La Martelière,Jean Henri Ferdinand,
338,La Moskova,"Joseph Napoléon Ney, prince de",
339,La Ribardière,,
340,La Roche,Guillemain Charles J.,
341,La Salle d'Offémont,Adrien Nicolas Piédefer de,
342,Labarre,"Théodore François Joseph Berry, dit Théodore",
343,Laborde,Jean Benjamin de,
344,Laboullaye,Ferdinand Simon de,
345,Lachnith,Ludwig Wenzel,
346,Lacour,Louis,
347,Lafitte,Jean,
348,Lafortelle,A.M.,
349,Lambert,L.T.,
350,Landrin,C.,
351,Lantier,Étienne François de,
352,Laruette,Jean-Louis,
353,Laugier,Balthazar Marie,
354,Laujon,Pierre,
355,Laval,"Paul Antoine Nolivos Saint-Cyr, dit",
356,Le Couppey de La Rozière,Jean René,
357,Le Grand,Jean-Pierre,
358,Le Sueur,Jean-François,
359,Le Sénéchal de Kerkado,Mlle,
360,Leber,Jean Michel Constant,
361,Leborne,Aimé Ambroise Simon,
362,Lebrun,Louis Sébastien,
363,Lebrun-Tossa,"Jean Antoine Brun, dit",
364,Lefebvre,Joseph,
365,Lefroid de Méreaux,Jean Nicolas,
366,Lefèbvre,Noël,
367,Legouvé,Gabriel Marie Jean-Baptiste,
368,Lemaignan,Mme,
369,Lemière de Corvey,Jean Frédéric,
370,Lemoine,Gustave,
371,Lemonnier,Pierre René,
372,Lemontey,Pierre Édouard,
373,Lemoyne,Jean-Baptiste,
374,Lepoitevin de Légreville Saint-Alme,Auguste,
375,Leprévost,Étienne Alexandre,
376,Leprêtre,,
377,Lesage,Alain-René,
378,Lescot,C. François,
379,Lesguillon,Jean Pierre François,
380,Lesure,Charles Louis,
381,Leuven,"Adolphe de Ribbing, dit Adolphe de",
382,Levasseur,Françis,
383,Limnander,"Armand Marie Ghislain, baron de Nieuwenhove",
384,Lockroy,"Joseph Philippe Simon, dit Joseph",
385,Longchamps,Charles de,
386,Loraux (aîné),"Michel Fillette, dit",
387,Loraux (jeune),"Claude François Fillette, dit",
388,Lorenzi,Giambattista,
389,Louet,Alexandre,
390,Louis-Auguste Second,dit A. Féréol,
391,Lourdet de Santerre,Jean-Baptiste,
392,Lubbert,Émile Timothée,
393,Lurieu,Jules Joseph Gabriel de,
394,Léger,François Pierre Auguste,
395,Légier,Pierre,
396,Lévrier de Champ-Rion,Guillaume Denis Thomas,
397,Lœillard d'Avrigny,Charles Joseph,
398,Mabille,,
399,Magnitot,,
400,Maillart,Louis Aimé,
401,Mallian,Julien de,
402,Marc,François,
403,Marcouville,Pierre Augustin Lefèvre de,
404,Maresse,Louis,
405,Marliani,Marco Aurelio,
406,Marmontel,Jean François,
407,Marsollier des Vivetières,Benoît-Joseph,
408,Martini,Jean Paul Égide,
409,Maréchal,Sylvain,
410,Masson de Morvilliers,,
411,Masson de Pezay,Alexandre Frédéric Jacques,
412,Masson,"Auguste Michel Benoît Gaudichot, dit Michel",
413,Massé,"Félix Marie, dit Victor",
414,Mazas,Jacques Féréol,
415,Mazères,Édouard Joseph Ennemond,
416,Mendibourg,,
417,Mengal,Martin Joseph,
418,Mengozzi,Bernardo,
419,Mennechet,Édouard,
420,Mension (secrétaire de Beaumarchais),,
421,Merle,Jean-Toussaint,
422,Merville,"Pierre François Camus, dit",
423,Metastasio,"Pietro Trapassi, dit",
424,Mitelet,,
425,Moissy,Alexandre Guillaume Mouslier de,
426,Moline de Saint-Yon,Alexandre Pierre,
427,Moline,Pierre Louis,
428,Monnais,Guillaume Édouard Désiré,
429,Monpou,François Louis Hippolyte,
430,Monsigny,Pierre Alexandre,
431,Montcloux d'Épinay,G.,
432,Montfort,Alexandre,
433,Montignac,P. de,
434,Monville,Thomas Boissel de,
435,Moras,P.,
436,Moreau de Commagny,Charles François Jean-Baptiste,
437,Morel de Vindé,Charles Gilbert Terray de,
438,Mossard,Guy,
439,Moulinghen,Jean-Baptiste,
440,Muret,Théodore,
441,Méhul,Étienne Nicolas,
442,Mélesville,"Anne Honoré Joseph Duveyrier, dit",
443,Mély-Janin,"Jean Marie Janin, dit",
444,Ménard,,
445,Ménilglaise (chevalier des officiers aux gardes françaises),,
446,Ménissier,Jules Constant,
447,Mézières-Miot,Louis,
448,Naigeon,Jacques André,
449,Nerval,"Gérard Labrunie, dit Gérard de",
450,Non,,
451,Noël,,
452,Nus,Eugène Jean-Baptiste,
453,Onslow,André Georges Louis,
454,Pacini,Antonio Francesco Gaetano Saverio,
455,Paganini,Mlle,
456,Pain,Joseph Marie,
457,Paisiello,Giovanni,
458,Panard,Charles François,
459,Panseron,Auguste Mathieu,
460,Parenti,Paolo Francesco,
461,Paris,Alexandre,
462,Parisau,Pierre Germain,
463,Parmentier,André,
464,Patrat,Joseph,
465,Payen,"Albert Liénard, dit Louis",
466,Paër,Ferdinando,
467,Peicam,,
468,Pelletier,Henri François,
469,Pergolesi,Giovanni Battista,
470,Persius,Louis Luc Loiseau de,
471,Pessey,Yacinthe Antoine,
472,Petrosellini,Giuseppe,
473,Philidor,François André Danican,
474,Picard,Louis Benoît,
475,Piccinni,Joseph Marie,
476,Piccinni,Louis Alexandre,
477,Piccinni,Luigi,
478,Piccinni,Niccolò,
479,Pigault-Lebrun,"Charles Antoine Guillaume Pigault de l'Épinoy, dit",
480,Piis,Pierre Antoine Augustin de,
481,Pillet,Léon,
482,Pillon-Duchemin,Anne Adrien Firmin,
483,Pineu-Duval,Alexandre Vincent,
484,Pineu-Duval,Henri,
485,Pisot,Charles,
486,Pitrot,Antoine Bonaventure,
487,Pittaud de Forges,Philippe Auguste Alfred,
488,Planard,François Antoine Eugène de,
489,Plancher-Valcour,Philippe Aristide Louis Pierre,
490,Plantade,Charles Henri,
491,Planterre,Barthélémy Ambroise,
492,Pleinchesne,Roger Timothée Regnard de,
493,Poinsinet,Antoine Alexandre Henri,
494,Poisson de La Chabeaussière,Auguste Étienne Xavier,
495,Polak,Théodore,
496,Porta,Bernardo,
497,Potier,Henri Hippolyte,
498,Potron,Charles,
499,Pradher,Louis Barthélémy,
500,Prati,Alessio,
