"month","age of oldest work (year)","number of premieres","population skewness","population standard deviation (year)"
1826-10-01 00:00:00.000,40.942465753424656,1,1.5795868041185386,11.51384756974079
1827-10-01 00:00:00.000,58.06575342465754,1,1.7306241317792297,14.144864618970725
1828-01-01 00:00:00.000,29.561643835616437,0,0.6373564719454258,9.433181116031232
1828-10-01 00:00:00.000,59.14794520547945,1,0.9632102519730571,15.65232747743393
1830-11-01 00:00:00.000,61.205479452054796,1,1.0992330680555678,14.942191878377772
1833-11-01 00:00:00.000,29.665753424657535,1,1.1071504419660338,8.72360946105463
1837-02-01 00:00:00.000,67.48493150684932,0,1.93360832868388,19.51438007094201
1837-05-01 00:00:00.000,67.68219178082192,0,2.432201858183076,16.347759123879428
1837-11-01 00:00:00.000,33.701369863013696,0,3.0135277616010363,7.090668843959058
1837-12-01 00:00:00.000,68.2931506849315,1,1.8332280788880644,17.470387208000794
1838-02-01 00:00:00.000,68.48493150684932,1,1.5176462216876274,17.986400336832034
1839-08-01 00:00:00.000,13.473972602739726,0,2.9487533580412135,3.2150970974583997
1839-12-01 00:00:00.000,40.87945205479452,1,2.6528816147863736,10.503940205974162
1840-10-01 00:00:00.000,26.67945205479452,1,1.7849227696583823,7.746050991414144
1840-12-01 00:00:00.000,26.846575342465755,1,1.7323144277528773,8.119465246209298
1841-03-01 00:00:00.000,8.287671232876713,2,1.573172848452426,2.4631907329168183
