opera,Brass - Horn,Brass - Trumpet,Brass - Trombone,Keyboard - Piano,Percussion - Timpani,Percussion - Drum,Percussion - Other,"Strings, bowed - Violin","Strings, bowed - Viola","Strings, bowed - Violoncello","Strings, bowed - Double bass","Strings, bowed - Unspecified","Strings, plucked - Harp",Woodwinds - Flute,Woodwinds - Oboe,Woodwinds - Clarinet,Woodwinds - Bassoon,Woodwinds - Piccolo,Woodwinds - Bass clarinet
153,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0
153,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
153,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
153,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
153,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0
153,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
153,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1403,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0
1403,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
1403,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
1403,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
1403,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
1403,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1403,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0
1403,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
1403,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
1403,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
932,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
932,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
932,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0
932,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
932,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
932,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
932,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
932,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
932,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0
932,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0
29,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
29,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
29,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
29,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0
29,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
29,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0
29,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0
251,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0
251,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
251,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
251,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
251,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
251,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
251,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
251,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
251,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
251,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
979,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
979,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
979,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
979,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
979,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
979,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
979,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
979,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
876,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0
876,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
876,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
876,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
876,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
876,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
876,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0
876,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
